id,name,type,timestamp,severity,description,source,related_assets,related_attacks
event-00001,Alerte - 1,Alerte,2025-05-21T05:23:00Z,critical,Alerte générée: Requête SQL suspecte.,firewall,"IT-07863, IT-01323",T1517
event-00002,Attaque Détectée - 2,Attaque Détectée,2025-12-08T14:04:00Z,low,Attaque détectée: Exploitation de Log4Shell.,firewall,IT-00135,CVE-2020-7532
event-00003,Panne Système - 3,Panne Système,2025-08-12T03:02:00Z,critical,Panne système: Base de données inaccessible.,manual,"IT-08006, IT-00639",
event-00004,Panne Système - 4,Panne Système,2025-07-28T17:39:00Z,high,Panne système: Base de données inaccessible.,manual,IT-08083,
event-00005,Maintenance - 5,Maintenance,2025-05-03T17:45:00Z,medium,Maintenance planifiée: Mise à jour du serveur.,manual,IT-06256,
event-00006,Panne Système - 6,Panne Système,2025-07-17T14:48:00Z,low,Panne système: Réseau indisponible.,manual,IT-00973,
event-00007,Maintenance - 7,Maintenance,2025-08-02T19:01:00Z,low,Maintenance planifiée: Redémarrage du réseau.,sysmon,IT-03915,
event-00008,Alerte - 8,Alerte,2025-10-03T10:20:00Z,medium,Alerte générée: Tentative de brute-force.,manual,IT-05876,CVE-2024-7814
event-00009,Incident - 9,Incident,2025-05-07T20:29:00Z,critical,Incident détecté: Accès non autorisé.,apache,IT-02901,T6266
event-00010,Incident - 10,Incident,2025-01-20T03:36:00Z,critical,Incident détecté: Exécution de commande suspecte.,apache,IT-04279,T6538
event-00011,Alerte - 11,Alerte,2025-02-14T16:24:00Z,low,Alerte générée: Scan de port.,apache,"IT-04532, IT-02440",T1371
event-00012,Panne Système - 12,Panne Système,2025-04-11T11:31:00Z,medium,Panne système: Réseau indisponible.,sysmon,"IT-07239, IT-09429",
event-00013,Panne Système - 13,Panne Système,2025-03-30T03:11:00Z,high,Panne système: Base de données inaccessible.,apache,"IT-00570, IT-06993",
event-00014,Maintenance - 14,Maintenance,2025-05-08T02:24:00Z,critical,Maintenance planifiée: Mise à jour du serveur.,suricata,"IT-06717, IT-08508",
event-00015,Attaque Détectée - 15,Attaque Détectée,2025-04-29T21:04:00Z,high,Attaque détectée: Tentative de ZeroLogon.,suricata,"IT-04658, IT-02790",CVE-2022-4234
event-00016,Panne Système - 16,Panne Système,2025-11-14T02:15:00Z,low,Panne système: Base de données inaccessible.,apache,"IT-06625, IT-03716",
event-00017,Panne Système - 17,Panne Système,2025-09-16T22:05:00Z,high,Panne système: Réseau indisponible.,sysmon,IT-01230,
event-00018,Alerte - 18,Alerte,2025-07-19T07:19:00Z,high,Alerte générée: Scan de port.,apache,IT-08059,CVE-2020-9202
event-00019,Maintenance - 19,Maintenance,2025-03-05T09:56:00Z,low,Maintenance planifiée: Sauvegarde des données.,apache,"IT-00225, IT-06192",
event-00020,Maintenance - 20,Maintenance,2025-11-17T11:07:00Z,medium,Maintenance planifiée: Mise à jour du serveur.,firewall,"IT-04360, IT-00408",
event-00021,Alerte - 21,Alerte,2025-09-24T09:59:00Z,critical,Alerte générée: Scan de port.,firewall,IT-05060,CVE-2024-3145
event-00022,Incident - 22,Incident,2025-07-06T21:10:00Z,low,Incident détecté: Trafic réseau anormal.,apache,"IT-04004, IT-00821",CVE-2022-6656
event-00023,Attaque Détectée - 23,Attaque Détectée,2025-01-21T22:18:00Z,critical,Attaque détectée: Attaque par force brute.,sysmon,IT-09418,T5805
event-00024,Maintenance - 24,Maintenance,2025-06-16T09:42:00Z,high,Maintenance planifiée: Mise à jour du serveur.,manual,IT-07770,
event-00025,Panne Système - 25,Panne Système,2025-02-11T14:12:00Z,high,Panne système: Réseau indisponible.,manual,IT-01453,
event-00026,Attaque Détectée - 26,Attaque Détectée,2025-04-04T13:01:00Z,critical,Attaque détectée: Exploitation de Log4Shell.,sysmon,IT-08930,T4705
event-00027,Incident - 27,Incident,2025-09-01T02:04:00Z,critical,Incident détecté: Exécution de commande suspecte.,manual,IT-00865,T8526
event-00028,Incident - 28,Incident,2025-07-18T17:19:00Z,high,Incident détecté: Exécution de commande suspecte.,firewall,"IT-00242, IT-02286",CVE-2024-2800
event-00029,Attaque Détectée - 29,Attaque Détectée,2025-10-28T20:02:00Z,high,Attaque détectée: Exploitation de Log4Shell.,firewall,IT-05934,CVE-2025-5291
event-00030,Panne Système - 30,Panne Système,2025-07-23T18:35:00Z,medium,Panne système: Réseau indisponible.,apache,IT-06259,
event-00031,Panne Système - 31,Panne Système,2025-12-12T22:48:00Z,high,Panne système: Serveur hors ligne.,sysmon,IT-09218,
event-00032,Incident - 32,Incident,2025-09-29T15:18:00Z,critical,Incident détecté: Accès non autorisé.,firewall,"IT-02523, IT-06598",T7710
event-00033,Alerte - 33,Alerte,2025-04-25T18:39:00Z,high,Alerte générée: Scan de port.,sysmon,"IT-07214, IT-04596",CVE-2021-7759
event-00034,Incident - 34,Incident,2025-02-19T14:06:00Z,medium,Incident détecté: Trafic réseau anormal.,sysmon,"IT-08622, IT-00608",T7165
event-00035,Incident - 35,Incident,2025-10-29T06:43:00Z,high,Incident détecté: Accès non autorisé.,apache,IT-07382,T1855
event-00036,Alerte - 36,Alerte,2025-12-30T01:25:00Z,critical,Alerte générée: Tentative de brute-force.,suricata,"IT-01045, IT-04522",CVE-2020-4215
event-00037,Panne Système - 37,Panne Système,2025-05-14T00:11:00Z,high,Panne système: Serveur hors ligne.,manual,"IT-00336, IT-05263",
event-00038,Maintenance - 38,Maintenance,2025-10-25T05:35:00Z,low,Maintenance planifiée: Redémarrage du réseau.,sysmon,"IT-09539, IT-05574",
event-00039,Incident - 39,Incident,2025-04-23T10:22:00Z,medium,Incident détecté: Trafic réseau anormal.,manual,IT-08984,CVE-2025-6883
event-00040,Incident - 40,Incident,2025-11-08T18:42:00Z,high,Incident détecté: Exécution de commande suspecte.,sysmon,"IT-03549, IT-04358",T1048
event-00041,Panne Système - 41,Panne Système,2025-12-03T18:38:00Z,medium,Panne système: Réseau indisponible.,firewall,IT-06073,
event-00042,Maintenance - 42,Maintenance,2025-09-01T22:01:00Z,medium,Maintenance planifiée: Mise à jour du serveur.,manual,"IT-00257, IT-04880",
event-00043,Panne Système - 43,Panne Système,2025-03-07T17:48:00Z,critical,Panne système: Serveur hors ligne.,apache,IT-08836,
event-00044,Incident - 44,Incident,2025-09-01T06:59:00Z,medium,Incident détecté: Trafic réseau anormal.,firewall,IT-07188,T7017
event-00045,Attaque Détectée - 45,Attaque Détectée,2025-04-23T14:07:00Z,medium,Attaque détectée: Attaque par force brute.,manual,"IT-02110, IT-01703",T2257
event-00046,Panne Système - 46,Panne Système,2025-01-07T22:49:00Z,high,Panne système: Serveur hors ligne.,sysmon,"IT-06509, IT-01678",
event-00047,Incident - 47,Incident,2025-09-17T02:51:00Z,low,Incident détecté: Trafic réseau anormal.,sysmon,"IT-06633, IT-06066",CVE-2021-2435
event-00048,Alerte - 48,Alerte,2025-11-24T00:47:00Z,high,Alerte générée: Tentative de brute-force.,firewall,"IT-09710, IT-02530",CVE-2025-8031
event-00049,Incident - 49,Incident,2025-10-25T19:46:00Z,high,Incident détecté: Trafic réseau anormal.,apache,IT-04455,CVE-2021-8129
event-00050,Attaque Détectée - 50,Attaque Détectée,2025-11-16T18:11:00Z,high,Attaque détectée: Attaque par force brute.,firewall,"IT-03290, IT-04931",T2262
event-00051,Panne Système - 51,Panne Système,2025-01-13T19:45:00Z,medium,Panne système: Réseau indisponible.,manual,"IT-00742, IT-01996",
event-00052,Maintenance - 52,Maintenance,2025-05-13T06:38:00Z,high,Maintenance planifiée: Sauvegarde des données.,apache,IT-00391,
event-00053,Attaque Détectée - 53,Attaque Détectée,2025-09-04T18:04:00Z,medium,Attaque détectée: Attaque par force brute.,sysmon,"IT-09875, IT-07475",T1126
event-00054,Incident - 54,Incident,2025-04-05T16:05:00Z,critical,Incident détecté: Exécution de commande suspecte.,manual,IT-05239,T3107
event-00055,Panne Système - 55,Panne Système,2025-12-07T12:25:00Z,critical,Panne système: Base de données inaccessible.,manual,IT-07805,
event-00056,Attaque Détectée - 56,Attaque Détectée,2025-07-13T04:32:00Z,high,Attaque détectée: Attaque par force brute.,apache,"IT-01608, IT-09044",CVE-2021-6046
event-00057,Maintenance - 57,Maintenance,2025-08-03T15:40:00Z,high,Maintenance planifiée: Mise à jour du serveur.,apache,"IT-00591, IT-02341",
event-00058,Attaque Détectée - 58,Attaque Détectée,2025-10-23T07:44:00Z,medium,Attaque détectée: Attaque par force brute.,sysmon,IT-02872,CVE-2023-4892
event-00059,Panne Système - 59,Panne Système,2025-01-28T11:34:00Z,low,Panne système: Serveur hors ligne.,sysmon,IT-00826,
event-00060,Attaque Détectée - 60,Attaque Détectée,2025-11-17T14:37:00Z,medium,Attaque détectée: Attaque par force brute.,apache,"IT-02237, IT-09973",T8299
event-00061,Incident - 61,Incident,2025-08-20T15:17:00Z,critical,Incident détecté: Trafic réseau anormal.,suricata,"IT-08872, IT-07985",CVE-2022-3819
event-00062,Incident - 62,Incident,2025-09-03T06:54:00Z,critical,Incident détecté: Accès non autorisé.,firewall,IT-09447,T7511
